"Line Number","Original Tamil Text","Transliterated Text","English Translation","Themes","Imagery","Literary Devices"
"129","மொழிபெயர் தேஎத்தர் ஆயினும்","Moḻipeyar tēṉṟaṟ āyiṉum","will not stay in another country, where they speak a different language","Different Language","Foreign Land","Narrative"
"130","பழி தீர் காதலர் சென்ற நாட்டே.","Paḻi tīr kādalār ceṉṟa nāṭṭē.","even if the lover is from a land with a different language.","Lover, Different Land","Different Language","Descriptive"
"131","மன்று பாடு அவிந்து மனை மடிந்தன்றே,","Maṉṟu pāṭu avintu maṉai maṭintaṉṟē,","Our town’s common grounds have become quiet,","Quiet Town, Night","Quiet Grounds","Narrative"
"132","கொன்றோர் அன்ன கொடுமையோடு இன்றே","Koṉṟōr aṉṉa koṭumaiyōṭu iṉṟē","people in homes have gone to sleep, night is ruthless like those who kill,","Sleep, Ruthless Night","Sleep","Simile"
"133","யாமம் கொளவரின் கனைஇக், காமம்","Yāmam koḷavariṉ kaṉaiik, kāmām","and my intense love is louder than the ocean, and it flows past its limits.","Intense Love, Ocean","Intense Love","Hyperbole"
"134","கடலினும் உரைஇக் கரை பொழியும்மே,","Kaṭaliṉum uraiik karai poḻiyummē,","Why is it, my friend? May you live long!","Long Life, Question","Overflowing Ocean","Rhetorical Question"
"135","எவன் கொல், வாழி தோழி, மயங்கி","Evaṉ koḷ, vāḻi tōḻi, mayaṅki","Not staying with me today, my good heart have gone past us to the forest,","Separation, Forest","Heart Leaving","Direct Address"
"136","இன்னம் ஆகவும் நன்னர் நெஞ்சம்","Iṉṉam ākamum naṉṉar neñcam","where, in the dark, the lord of the forest, wearing","Darkness, Forest Lord","Dark Forest","Descriptive"
"137","என்னொடும் நின்னொடும் சூழாது, கைம்மிக்கு,","Eṉṉoṭum niṉṉoṭum cūḻātu, kaiṉṉikku,","bee-swarming, blue waterlilies that grow on small springs, walks","Blue Waterlilies","Waterlilies","Imagery"
"138","இறும்பு பட்டு இருளிய இட்டு அருஞ்சிலம்பில்","Iṟumpu paṭṭu iṟuḷiya iṭṭu arumciḷampiḷ","on the small difficult mountain path which appears like the rope scars on an elephant’s back,","Elephant Scars, Mountain Path","Difficult Path","Simile"
"139","குறுஞ்சுனைக் குவளை வண்டு படச் சூடிக்,","Kuṟiñcuṉaik kuvaḷai vaṇḍu paṭac cūṭik,","where monsoon’s clouds pour rain, to watch him as he walks in the dark","Monsoon Rain","Monsoon Clouds","Imagery"
"140","கான நாடன் வரூஉம் யானைக்","Kāṉa nāṭaṉ varūm yāṉaik","on a small path with dangerous pits, and help him as his tired feet walks.","Dangerous Path, Tired Feet","Dangerous Pits","Descriptive"
"141","கயிற்றுப் புறத்தன்ன, கல் மிசைச் சிறு நெறி,","Kayiṟṟup puṟattaṉṉa, kal miṣaic siṟu neṟi,","Not analyzing the situation with you or me, my heart has decided on its own","Self-Decisions, Heart","Self-Decision","Narrative"
"142","மாரி வானந்தலைஇ நீர் வார்பு,","Māṟi vāṉantalaiiṉ nīr vāṟpu,","and left. It is out of control!","Out of Control, Forest","Forest Path","Descriptive"
"143","இட்டு அருங்கண்ண படுகுழி இயவின்,","Iṭṭu aruṅkaṇṇa paṭukuḻi iyaviṉ,","It is out of control!","Dangerous Pits","Dangerous Paths","Imagery"
"144","இருள் இடை மிதிப்புழி நோக்கி அவர்","Iṟuḷ iṭai mitippuḻi nōkki avaṉ","Why has he left in this dark night,","Dark Night","Darkness","Rhetorical Question"
"145","தளர் அடி தாங்கிய சென்றது இன்றே?","Taḷar aṭi tāṅkiya ceṉṟatu iṉṟē?","with the pits that he must cross?","Crossing Pits","Pits","Question"
"145","உள்ளல் வேண்டும் ஒழிந்த பின் என","Uḷḷal vēṇṭum oḻinta piṉ eṉa","He will think about you, having gone, your lover","Longing, Separation","Thinking of Lover","Narrative"
"146","நள்ளென் கங்குல் நடுங்கு துணையாயவர்","Naḷḷeṉ kaṅkuḷ naṭuṅku tuṇaiyāyavar","who will tremble at night with pitch darkness, without you.","Darkness, Trembling","Trembling","Descriptive"
"147","நின் மறந்து உறைதல் யாவது? புல் மறந்து","Niṉ maṟantu uṟaital yāvatu? Pul maṟantu","How can he forget you and live?","Forgetting, Survival","Forgetting","Rhetorical Question"
"148","அலங்கல் வான் கழை உதிர் நெல் நோக்கிக்","Alaṅkaḷ vāṉ kaḻai utir nel nōkki","My friend with beautiful, soft hair and pretty jewels!","Beauty, Jewels","Soft Hair","Direct Address"
"149","கலை பிணை விளிக்கும் கானத்து ஆங்கண்,","Kalai piṇai viḷikkum kānattu āṅkaṇ,","He told us from his heart that it is not good for you","Heartfelt Concern","Heartfelt Concern","Narrative"
"150","கல் சேர்பு இருந்த கதுவாய்க் குரம்பைத்","Kal cērpu irunda kathuvāyk kurampait","with rows of rounded bangles, bamboo-like arms, kohl-rimmed eyes that look like blossoms of blue waterlilies","Jewelry, Bamboo-like Arms","Bangles","Simile"
"151","தாழி முதல் கலித்த கோழ் இலைப் பருத்திப்","Tāḻi mutal kalitta kōḻ iḷaip paruttip","and honey fragrant hair, to go with him on harsh forest paths,","Fragrant Hair","Fragrant Hair","Descriptive"
"152","பொதி வயிற்று இளங்காய் பேடை ஊட்டிப்,","Pothi vayiṟṟu iḷaṅkāy pēṭai ūṭṭip","where, forgetting to eat grass, a stag looks at the dropped seeds of tall, swaying bamboo","Forest Paths, Stag","Stag","Imagery"
"153","போகில் பிளந்திட்ட பொங்கல் வெண்காழ்","Pōkiḷ piḷantiṭṭa poṅkaḷ veṇkāḻ","and calls his mate near a large pot in a ruined hut near rocks,","Ruined Hut, Large Pot","Ruined Hut","Descriptive"
"154","நல்கூர் பெண்டிர் அல்கல் கூட்டும்","Naṟkūr peṇṭir alkaḷ kūṭṭum","a pōkil bird feeds his mate cotton pods growing on plants with flourishing leaves","Pōkil Bird, Cotton Pods","Bird Feeding","Imagery"
"155","கலங்கு முனைச் சீறூர் கை தலை வைப்பக்","Kaḷaṅku muṉaic cīṟūr kai talai vaippak","discards the big white seeds, and poor women collect them to eat later,","Collecting Seeds","Seeds Collection","Descriptive"
"156","கொழுப்பு ஆ தின்ற கூர்ம் படை மழவர்,","Koḻuppu ā tīṉṟa kūrṃ paṭai maḻavar,","in a village near a battlefield, and warriors with sharp weapons","Battlefield, Warriors","Battlefield","Descriptive"
"157","செருப்புடை அடியர், தெண் சுனை மண்டும்","Ceruppuṭai aḍiyar, teṇ suṉai maṇṭum","wearing slippers eat fatty cows and drink water from the clear springs in the wasteland.","Fatty Cows, Clear Springs","Clear Springs","Imagery"
"158","அருஞ்சுரம் அரியவல்ல வார் கோல்","Aṟuñcuraṉ ariyavalla vāṟ kōḷ","He will not stay away another day on the fierce, forked path","Forked Path","Fierce Path","Descriptive"
"159","திருந்திழைப் பணைத்தோள், தேன் நாறு கதுப்பின்","Tiruñciṟai paṇaith tōḷ, tēṉ nāṟu katuppiṉ","where uneducated men who wear lovely clusters of delicate, white flowers with red stems","Clusters of Flowers","Flowers","Imagery"
"160","குவளை உண்கண் இவளொடு செலற்கு என","Kuṟaḷai uṇkaṇ iṉaḷoṭu celarka eṉa","from kadampam trees with sturdy trunks, on their tight, curly hair, carry curved bows on their left side","Kadampam Trees","Kadampam Trees","Descriptive"
"161","நெஞ்சுவாய் அவிழ்ந்தனர் காதலர்,","Neñcuvāy avaizhiṉṟaṉar kādalār,","and are looking for those who travel. My heart has decided on its own and left. It is out of control!","Traveling, Heart Leaving","Traveling","Narrative"
"162","அம் சில் ஓதி ஆயிழை, நமக்கே.","Am ciḷ ōti āyiḻai, namakkē.","Not analyzing the situation with you or me, my heart has decided on its own and left. It is out of control!","Control, Decision","Decision","Descriptive"
"163","அம்ம வாழி, கேளிர்! முன் நின்று","Amma vāḻi, kēḷir! Muṉ niṉṟu","May you live long, my friend! Listen to me!","Friendship, Life","Address to Friend","Direct Address"
"164","கண்டனிர் ஆயின், கழறலிர் மன்னோ,","Kaṇṭaṉir āyiṉ, kaḻaṟalir maṉṉō,","You would not accuse me if you had seen her beautiful, bright face","Seeing, Accusation","Bright Face","Conditional Statement"
"165","நுண் தாது பொதிந்த செங்கால் கொழுமுகை","Nuṉ tādu potinda ceṅkāl koḻumukai","and kohl-rimmed eyes, prettier than the waterlily flowers opened by bees","Kohl-rimmed Eyes, Waterlilies","Comparison","Simile"
"166","முண்டகம் கெழீஇய மோட்டு மணல் அடைகரைப்","Muṇṭakam keḻīīya mōṭṭu maṇal aṭaikkaraiṉ","in the curved backwaters near the shores of Korkai city,","Backwaters, Shores","Curved Backwaters","Descriptive"
"167","பேஎய்த் தலைய பிணர் அரைத் தாழை","Pēyēyt talaiya piṉar aṟaiṯ tāḻai","belonging to king Vazhuthi with fine chariots hitched to horses","King Vazhuthi, Chariots","Fine Chariots","Descriptive"
"168","எயிறுடை நெடுந்தோடு காப்பப் பலவுடன்","Eyiṟuṭai neṭuntōṭu kāppap palavuṭaṉ","their trotting desirable and their legs scarred","Trotting, Scarred Legs","Desirable Trotting","Imagery"
